,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
613,72473,1Bi4FWSuiItUNREkaoeFY3,Que Locura Fue Enamorarme de Ti (Remix),67,141453,0,"['La Banda De Lechuga', 'Kevo DJ']","['4fILEHnYOJmHI2Z1VhuWLZ', '4Fr8ee9ec47r9fC8SqiO8z']",2019-11-15,0.879,0.555,9,-5.556,1,0.0746,0.116,1.38e-05,0.038,0.659,101.979,4,https://i.scdn.co/image/ab67616d0000b273bb061f24739c52e39dbbdb1e,https://open.spotify.com/track/1Bi4FWSuiItUNREkaoeFY3
614,72571,1WH3iquIQXnSPwUzlROT8R,Quiéreme Mientras Se Pueda,50,191945,0,['Manuel Turizo'],['0tmwSHipWxN12fsoLcFU3B'],2021-04-09,0.793,0.782,4,-3.945,1,0.0582,0.447,0.0,0.124,0.81,143.86,4,https://i.scdn.co/image/ab67616d0000b273d4db0cf7d386e85d2bf554b2,https://open.spotify.com/track/1WH3iquIQXnSPwUzlROT8R
615,72572,2C4GDtRecp1qTL5ac1Gzsh,Quiereme Mientras se Pueda - Remix,50,225417,0,"['Manuel Turizo', 'Miky Woodz', 'Jay Wheeler']","['0tmwSHipWxN12fsoLcFU3B', '1pf0MPKfKdvS8J779mS1Ay', '2cPqdH7XMvwaBJEVjheH8g']",2021-04-09,0.651,0.755,4,-4.405,1,0.171,0.31,0.0,0.242,0.794,143.781,4,https://i.scdn.co/image/ab67616d0000b273d4db0cf7d386e85d2bf554b2,https://open.spotify.com/track/2C4GDtRecp1qTL5ac1Gzsh
616,72627,4VZ0UOLwnTnQSLZJme5lyQ,Qué Tiene De Malo,60,168653,0,"['Calibre 50', 'El Komander']","['4jogXSSvlyMkODGSZ2wc2P', '2wC90WSKQd0BvdxJZ0mObr']",2014-06-03,0.766,0.805,8,-2.771,1,0.0443,0.705,0.0,0.0928,0.967,114.195,3,https://i.scdn.co/image/ab67616d0000b273abc059f0f314f439705b836c,https://open.spotify.com/track/4VZ0UOLwnTnQSLZJme5lyQ
617,72940,5mvZ5LfQyR42cd5Pl2OaVv,Que Vas a Hacer Sin Mi,34,183240,0,['Vicente Fernández'],['4PPoI9LuYeFX8V674Z1R6l'],1991,0.348,0.183,4,-12.81,1,0.0417,0.874,0.00013,0.0909,0.221,75.868,4,https://i.scdn.co/image/ab67616d0000b2730245f764112e805d0cefeb83,https://open.spotify.com/track/5mvZ5LfQyR42cd5Pl2OaVv
618,73101,1GDYU3Gb26zQKquBK9AE4I,Que el Mundo de Su Gloria Llene,33,302267,0,['Guardian'],['2iXzwNiVUlkwAaI0t4qHaq'],1995-01-01,0.579,0.535,3,-8.854,1,0.0289,0.141,0.0,0.0855,0.448,177.938,4,https://i.scdn.co/image/ab67616d0000b2733cc5fb7e50992eb7f2da6a48,https://open.spotify.com/track/1GDYU3Gb26zQKquBK9AE4I
619,73137,3Izmw7dudzeZtunNmF5cgF,Qué Falta Me Hace Mi Padre,39,183484,0,['Antonio Aguilar'],['0PN0fbe41KbuzlRYnoajNm'],1996-09-26,0.35,0.382,2,-7.61,0,0.0448,0.244,5.83e-05,0.15,0.493,170.94,3,https://i.scdn.co/image/ab67616d0000b2736e7086902e38bcd345117161,https://open.spotify.com/track/3Izmw7dudzeZtunNmF5cgF
620,73421,0RDDMvevLZkkBhAHP2mNpb,Que calor,55,225320,0,['Pibes Chorros'],['3TINnlLcMBQA88OoalsvYR'],2003-04-08,0.851,0.792,7,-1.815,1,0.0513,0.162,0.0,0.0874,0.871,83.956,4,https://i.scdn.co/image/ab67616d0000b2738bf5fa765adf517eb9411104,https://open.spotify.com/track/0RDDMvevLZkkBhAHP2mNpb
621,73444,1gwmyjUbh8YagrwcynAmwT,Quererte Fue un Error,44,178840,0,['El Charrito Negro'],['4e8vIrZBkqRocfY0TrT0s6'],2004-03-05,0.768,0.515,7,-5.588,1,0.0407,0.541,0.0,0.149,0.863,95.165,4,https://i.scdn.co/image/ab67616d0000b27370e4c6a9921110d9b88136eb,https://open.spotify.com/track/1gwmyjUbh8YagrwcynAmwT
622,73448,3a6n2q7NcrAwgrZT3UOW1K,Que Rico Boogaloo,40,231547,0,['La-33'],['1Y2yzHPbBWZouNYTOGFq7u'],2004-12-04,0.938,0.643,0,-6.904,1,0.0449,0.534,4.91e-05,0.0908,0.966,116.087,4,https://i.scdn.co/image/ab67616d0000b273bdb8c5e3092f2c761d1ad283,https://open.spotify.com/track/3a6n2q7NcrAwgrZT3UOW1K
623,73455,1zK1pWXdp8IS136HTg3PXn,Querido Enemigo,47,250373,1,"['Morodo', 'Dahani']","['2OnH4HpywAxWkSOEsyjdjn', '69CmKC6wHFltmcQHp7pPY9']",2004-10-26,0.658,0.677,1,-6.988,0,0.382,0.204,0.0,0.136,0.625,89.046,4,https://i.scdn.co/image/ab67616d0000b27302165db2db542fde2a36c253,https://open.spotify.com/track/1zK1pWXdp8IS136HTg3PXn
624,73502,57NSOAHKJDmGhQjVAjWvKX,Que Mal Hicimos,32,260600,0,"['Kaleth Morales', 'Juank Ricardo']","['1JzCCMAjM3FCr9eM3jp0uH', '4pndENcUE4a4i27yDe7coJ']",2005-11-24,0.682,0.661,9,-7.07,1,0.0356,0.495,0.0,0.445,0.95,176.146,4,https://i.scdn.co/image/ab67616d0000b273dda96e138954e135de348d9b,https://open.spotify.com/track/57NSOAHKJDmGhQjVAjWvKX
625,73600,7nSgNsvgl5BtjDyysdlWEB,Que Te Pasa,50,183947,0,['Yuri'],['4OgNARLQSC4yy7Dsa5cqxx'],2007-01-01,0.785,0.742,11,-8.703,0,0.0319,0.318,0.00189,0.054,0.962,123.544,4,https://i.scdn.co/image/ab67616d0000b2730ccd91fe3053a1540c69694a,https://open.spotify.com/track/7nSgNsvgl5BtjDyysdlWEB
626,73607,1rIL6nlc53iQmjqkbWtpmY,Que Hablen de Mí,39,167573,0,['Francy'],['5pAEGsouhZbgSqJMTmEXoT'],2008-12-01,0.776,0.669,7,-4.889,1,0.0468,0.645,0.0,0.118,0.948,103.649,4,https://i.scdn.co/image/ab67616d0000b27316157c9f22b63bb9c4dff520,https://open.spotify.com/track/1rIL6nlc53iQmjqkbWtpmY
627,73624,2GVDX9MYgot3QdNe7xv1Yb,"Quizás, Quizás - Live",53,227760,0,['Buena Vista Social Club'],['11kBu957KTYoAltZHDm8gW'],2008-10-13,0.42,0.832,7,-6.422,0,0.116,0.601,1.1e-06,0.964,0.559,132.623,4,https://i.scdn.co/image/ab67616d0000b273654a77b10a78a935a173f45c,https://open.spotify.com/track/2GVDX9MYgot3QdNe7xv1Yb
628,73706,5s3936VbCpdkM0ogKWE8Nn,Quien es el Patron?,43,203693,0,['Systema Solar'],['2fsQcmsoEVZD4EHZOzARdx'],2010-10-14,0.801,0.948,0,-2.414,1,0.0388,0.118,0.000247,0.229,0.828,115.008,4,https://i.scdn.co/image/ab67616d0000b273211273c7d1b8db1ef4832cba,https://open.spotify.com/track/5s3936VbCpdkM0ogKWE8Nn
629,73799,3V4bMgeel5aUjLPMuDxMN3,Que Nadie Sepa Mi Sufrir,46,190400,0,['Los Tres Reyes'],['6QZS9lcGeckgZNy0PN7R7u'],2011-04-05,0.648,0.346,1,-11.387,0,0.0975,0.756,8.6e-06,0.14,0.76,155.868,4,https://i.scdn.co/image/ab67616d0000b2735a26297e509e5d69f44e1de8,https://open.spotify.com/track/3V4bMgeel5aUjLPMuDxMN3
630,73809,3NUAnPminbwPZICFpMDoNF,"Que Quieres De Mi Remix (feat. Nengo Flow,Nova Y Jory,J Alvarez,Farruko)",55,414746,1,"['Gotay ""El Autentiko""', 'Nengo Flow,Nova Y Jory,J Alvarez,Farruko']","['6ieK9Ddas29reReO60on3o', '2JYVLtEUa3VaBRcvrgYV5I']",2012-01-08,0.856,0.639,1,-8.462,1,0.199,0.161,0.0,0.0911,0.835,93.033,4,https://i.scdn.co/image/ab67616d0000b2730bcdcb26d66fe25cc69b56c7,https://open.spotify.com/track/3NUAnPminbwPZICFpMDoNF
631,73859,2CD5TesE5cPyhWxXxz3qIE,Qué Bello Es Vivir,54,238760,0,['El Kanka'],['4Byu6VBhuMYzcoIUrIyLuL'],2013-04-22,0.625,0.651,9,-5.092,1,0.0638,0.729,0.0,0.124,0.817,104.566,4,https://i.scdn.co/image/ab67616d0000b273d3da07c89bba0aac65a32ada,https://open.spotify.com/track/2CD5TesE5cPyhWxXxz3qIE
632,73882,2uHpC2ZWJqOWU0BkpnPDNg,Quiero Oírte,47,312187,0,['Warcry'],['3hMTlMf2UGZTeP6DSUUl09'],2013-09-09,0.479,0.963,6,-4.662,1,0.0364,6.09e-05,0.00155,0.108,0.284,91.472,4,https://i.scdn.co/image/ab67616d0000b273e209d4324f3674c880c20078,https://open.spotify.com/track/2uHpC2ZWJqOWU0BkpnPDNg
633,73965,6qYLtJR0FMaTPkv5JcwCAq,Qué bonito,41,230990,0,['Bomba Estéreo'],['5n9bMYfz9qss2VOW89EVs2'],2014-12-08,0.633,0.944,9,-5.549,1,0.0513,0.000703,0.00722,0.125,0.762,133.99,4,https://i.scdn.co/image/ab67616d0000b273ef9e5309d6781cef7a11b302,https://open.spotify.com/track/6qYLtJR0FMaTPkv5JcwCAq
634,74040,5RchIeSyEbgWGsz8ubD7qv,Quien Te Va a Amar Como Yo,52,226013,0,"['Ronald El Killa', 'Kevin Roldan']","['2jE5NeCBZpgohvRLtQ6v0O', '1RBzGO6Nm3uyhUSxP7EDWO']",2015-08-12,0.819,0.785,5,-5.261,1,0.0619,0.137,0.0,0.0939,0.884,80.011,4,https://i.scdn.co/image/ab67616d0000b27374bbcda2801201262959dab9,https://open.spotify.com/track/5RchIeSyEbgWGsz8ubD7qv
635,74055,13FNNUuSUwNB3J6GtTp5K5,"Que Sufra, Que Chupe Y Que Llore",49,209841,0,"['Paola Jara', 'Francy']","['6y4IOQcDIDg6I1OEKf2oJk', '5pAEGsouhZbgSqJMTmEXoT']",2016-02-03,0.801,0.298,2,-13.182,0,0.0586,0.518,0.0,0.215,0.835,120.064,4,https://i.scdn.co/image/ab67616d0000b273e8801bbbc4d9967e426a566b,https://open.spotify.com/track/13FNNUuSUwNB3J6GtTp5K5
636,74080,4lc3SmNj0FBtPGygUfeGc4,Qué Mal Te Ves Sin Mí,53,197820,0,['Espinoza Paz'],['01rgao9OzfBm2BOHWJpi1Y'],2016-06-03,0.701,0.305,0,-6.782,1,0.0352,0.398,2.07e-05,0.582,0.46,88.19,4,https://i.scdn.co/image/ab67616d0000b2739bc427697384a6f2a97ca22c,https://open.spotify.com/track/4lc3SmNj0FBtPGygUfeGc4
637,74082,1W1i1xCc00UlW6hkOdHlP9,Que Raro,52,229240,0,"['Feid', 'J Balvin']","['2LRoIwlKmHjgvigdNGBHNo', '1vyhD5VmyZ7KMfW5gqLgo5']",2016-10-21,0.749,0.76,5,-7.596,0,0.283,0.342,0.00073,0.444,0.764,171.932,4,https://i.scdn.co/image/ab67616d0000b273879743b04f1059b7149474a6,https://open.spotify.com/track/1W1i1xCc00UlW6hkOdHlP9
638,74147,3eg52bwJ7r5Ma9ZmLOGAts,Quién Pidió Pollo,42,232747,0,"['Granuja', 'Doble Porcion']","['5KBPxIED8ejHkvhs4KCzyS', '2tyanlw9fAVWl6uNQkilxQ']",2017-03-31,0.856,0.48,11,-7.181,1,0.23,0.104,0.0,0.112,0.686,90.997,4,https://i.scdn.co/image/ab67616d0000b27334133a7eeb7bbef836ec7737,https://open.spotify.com/track/3eg52bwJ7r5Ma9ZmLOGAts
639,74181,1FEH4cNvTNkBO5tM4mMyag,Que Te Lo Crea Tu Madre,58,200385,0,['Espinoza Paz'],['01rgao9OzfBm2BOHWJpi1Y'],2018-03-01,0.555,0.459,5,-6.535,1,0.0367,0.593,8.36e-06,0.062,0.398,155.894,3,https://i.scdn.co/image/ab67616d0000b2734cc21956cd89013cfd6c2882,https://open.spotify.com/track/1FEH4cNvTNkBO5tM4mMyag
640,74283,6dZDBFRYElQx4DY1q62r30,Que Me Baile,57,223846,0,"['ChocQuibTown', 'Becky G']","['6tkyhGe9hGI3Lcfo4gVh6Z', '4obzFoKoKRHIphyHzJ35G3']",2019-06-28,0.858,0.756,6,-5.156,0,0.074,0.0533,0.00414,0.0613,0.738,103.986,4,https://i.scdn.co/image/ab67616d0000b273c02dd55d455597361e1049a1,https://open.spotify.com/track/6dZDBFRYElQx4DY1q62r30
641,74300,4fcC14xEEHEYS4SClHRzOr,que putas,56,153747,1,['Feid'],['2LRoIwlKmHjgvigdNGBHNo'],2020-09-11,0.466,0.263,5,-8.633,0,0.0783,0.404,0.0,0.115,0.306,78.234,1,https://i.scdn.co/image/ab67616d0000b27318ee027c16a592fe89ab28ca,https://open.spotify.com/track/4fcC14xEEHEYS4SClHRzOr
642,74310,4VwbXijbE0bSA0HzTvsqzH,Querida,63,216000,1,"['Piso 21', 'Feid']","['4bw2Am3p9ji3mYsXNXtQcd', '2LRoIwlKmHjgvigdNGBHNo']",2020-07-17,0.758,0.844,1,-4.427,1,0.0695,0.0325,0.0,0.333,0.373,99.955,4,https://i.scdn.co/image/ab67616d0000b273e9995f176c2488a0c7c7569a,https://open.spotify.com/track/4VwbXijbE0bSA0HzTvsqzH
643,74321,0rIZ49wxDf8H2LXOKmAMW5,Qué Chimba,68,169741,0,['Maluma'],['1r4hJ1h58CWwUQe3MxPuau'],2020-03-13,0.726,0.949,7,-3.416,1,0.0805,0.0112,0.00193,0.152,0.595,127.999,4,https://i.scdn.co/image/ab67616d0000b273f9825cbb382aa12a9d452f2b,https://open.spotify.com/track/0rIZ49wxDf8H2LXOKmAMW5
644,74324,0ojvxgSTugVPVlNWka3hOb,Qué Lástima,54,224869,0,"['ChocQuibTown', 'Sech']","['6tkyhGe9hGI3Lcfo4gVh6Z', '77ziqFxp5gaInVrF2lj4ht']",2020-08-20,0.529,0.712,8,-5.354,1,0.256,0.4,0.0,0.0965,0.727,171.87,4,https://i.scdn.co/image/ab67616d0000b273b3666fd009c240fb17a42726,https://open.spotify.com/track/0ojvxgSTugVPVlNWka3hOb
645,74334,63tc67n05008BFsuVhGgNb,Qué Rico Repetirlo,52,186840,0,['Andy Rivera'],['7hIqJfRYGBWWT1Qxu6Cpd2'],2020-05-29,0.808,0.798,9,-3.998,1,0.126,0.0352,0.0,0.0652,0.605,75.982,4,https://i.scdn.co/image/ab67616d0000b27358a78785d36004e5a3e81398,https://open.spotify.com/track/63tc67n05008BFsuVhGgNb
646,74395,0txTDd6eTzY98NVn6FtMcp,Qareat El Fengan,34,2609133,0,['Abdel Halim Hafez'],['6IW026WCYU8L1WF79dfwss'],1976-01-01,0.35,0.217,10,-16.185,0,0.0443,0.86,0.00799,0.118,0.22,100.973,4,https://i.scdn.co/image/ab67616d0000b2738015b5918f373b0e7c448b89,https://open.spotify.com/track/0txTDd6eTzY98NVn6FtMcp
647,74406,0c5rD2FJUiSpDw0YDUO4iP,Que sont devenues mes amours?,31,221507,0,['Joe Dassin'],['64LCTpIu9Iji2EPaxxPpxF'],1976-08-20,0.371,0.607,9,-7.537,0,0.0641,0.668,4.27e-05,0.181,0.261,127.864,3,https://i.scdn.co/image/ab67616d0000b2734fbcdf2343a4b6a43754ad38,https://open.spotify.com/track/0c5rD2FJUiSpDw0YDUO4iP
648,75021,6uORP6hjzTP6GzzkZJgtok,"Qui a le droit... - Live ""Si ce soir""",44,273973,0,['Patrick Bruel'],['0vmrFTWCwK3gFGDzeUzeMg'],1996-09-16,0.345,0.192,7,-11.801,1,0.0312,0.875,0.0,0.759,0.26,81.8,4,https://i.scdn.co/image/ab67616d0000b27380a31e6e446e62ca051620a0,https://open.spotify.com/track/6uORP6hjzTP6GzzkZJgtok
649,75116,0kC2pQf3a4Cdvs16KTbWCC,Question And Answer,45,383000,0,"['Gary Burton', 'Chick Corea', 'Pat Metheny', 'Roy Haynes', 'Dave Holland']","['4iovNkf44dsELmo3E7XSKX', '5olDKSsFhhmwh8UCWwKtpq', '3t58jfUhoMLYVO14XaUFLA', '1tGINpEJVUsQXssRC28ugo', '1bqaQBqbqbEXPxLF0v6AAH']",1998-01-01,0.255,0.403,2,-14.777,0,0.0371,0.889,0.663,0.0994,0.476,171.04,3,https://i.scdn.co/image/ab67616d0000b27310adce1ef1cdd305aeae93fb,https://open.spotify.com/track/0kC2pQf3a4Cdvs16KTbWCC
650,76575,6JowiwpwKToPpp3bpXQGDR,Quero,33,224600,0,['Elis Regina'],['0yFvXd36g5sNKYDi0Kkvl8'],1976-01-05,0.215,0.462,9,-7.358,1,0.0353,0.325,1.12e-06,0.399,0.539,202.587,4,https://i.scdn.co/image/ab67616d0000b27355d847d37a888e06ebaa039b,https://open.spotify.com/track/6JowiwpwKToPpp3bpXQGDR
651,76687,0UTxUXHbo1igrXRnQTTTAE,Quiéreme Como Soy,33,170427,0,['Los Bukis'],['16kOCiqZ1auY4sokSeZuKf'],1984-01-01,0.493,0.83,5,-9.449,1,0.0394,0.514,7.77e-05,0.253,0.972,170.334,3,https://i.scdn.co/image/ab67616d0000b273c8423d8f2904e8f730f12998,https://open.spotify.com/track/0UTxUXHbo1igrXRnQTTTAE
