,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
7454,205891,40Fr7DB1j6RB2DqygQI4LI,Holocaust,59,207747,0,['Ceza'],['28Qbi9jTj2eej21P2mImZI'],2004-07-01,0.72,0.773,5,-9.974,0,0.182,0.647,0.000125,0.261,0.676,170.114,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7455,205923,40NRy5xeT32HCLae48DVov,Holler High,41,255000,0,['Sort Sol'],['15BYnFahZPTexrVSiqxbK7'],2014-01-01,0.446,0.799,1,-9.731,1,0.0399,0.0214,0.00671,0.16,0.659,163.914,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7456,205945,40TWh42KM4oy6NK6bByNFH,Hold On,34,231907,0,['Kansas'],['2hl0xAkS2AIRAu23TVMBG1'],1980-09-01,0.448,0.612,4,-6.951,0,0.0366,0.0288,0.0,0.11,0.537,158.22,3,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7457,205952,40W1V3aU3g6lEGZVwsxAcO,Hand of Doom,47,428387,0,['Black Sabbath'],['5M52tdBnJaKSvOpJGz8mfZ'],1970-09-18,0.45,0.534,7,-13.023,1,0.0729,0.0252,0.0035,0.111,0.289,141.473,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7458,205954,40WeJU3odsbq1fXNbub4nh,Helplessly Hoping,50,159000,0,"['Crosby, Stills, Nash & Young']",['1CYsQCypByMVgnv17qsSbQ'],1974-08-19,0.493,0.164,7,-13.853,1,0.0377,0.911,0.0,0.111,0.411,145.97,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7459,205956,40WqcngmB4oYompCswuSO3,Heartbeat,39,206600,0,['Tahiti 80'],['7N2ukNg3vSS0LE1xqSaO2j'],1999,0.611,0.736,2,-6.67,1,0.0316,0.000198,0.0,0.147,0.581,109.04,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7460,206048,40xnNb4VYbAB0CJUVth89G,Hotel Walls,61,206493,0,['Smith & Thell'],['1ZrBGJWLL8NiAjgNifCy90'],2021-02-05,0.524,0.705,11,-8.248,1,0.048,0.00955,1.49e-06,0.0921,0.287,141.902,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7461,206075,417MeJ40upxxf3aNlr5Xbi,Hyper Hyper,55,210200,0,['Scooter'],['0HlxL5hisLf59ETEPM3cUA'],2002-05-13,0.487,0.994,8,-12.159,1,0.085,0.0107,0.00492,0.969,0.37,160.859,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7462,206086,41AUpJFdikkxoLBXgCgV67,Housewar,45,66152,0,['Housebros'],['49Vq9FY32HC2kCJzyI8a7W'],2020-11-25,0.811,0.954,4,-10.813,0,0.0729,0.000115,0.131,0.0588,0.262,128.03,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7463,206087,41AXvKXS4Vl8jpoHho9Enb,Haal Kya Hai Dilon Ka,33,350200,0,['Kishore Kumar'],['0GF4shudTAFv8ak9eWdd4Y'],1972-01-01,0.43,0.779,2,-5.77,0,0.22,0.786,0.0,0.244,0.813,98.459,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7464,206145,41Vb5dikqHwkd3JV7q4FXq,Hvem Er En... Kælling?,34,226013,1,['Suspekt'],['74HomvqoUecDcUPRespyqg'],2003,0.796,0.776,10,-4.694,0,0.246,0.22,9.96e-05,0.108,0.844,96.431,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7465,206155,41Y3rvM0SuSG0aQTIAw0Tx,Huellas,31,220080,0,['Eva Ayllón'],['6AQFORISOneOZkh6r1sGS2'],2007,0.524,0.543,4,-5.525,0,0.0333,0.522,0.0,0.143,0.502,133.974,3,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7466,206182,41dW7vuJ4TIo0QtFyJPMnL,Heartland,32,307667,0,['The The'],['7cKtqv9cYVlOwnuCFH95ce'],1986-08-22,0.628,0.82,9,-5.984,0,0.0313,0.0139,7.93e-05,0.342,0.751,125.841,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7467,206196,41hzhXfYJYVFWF21JrmkA9,Home For A Rest,52,276173,0,['Spirit Of The West'],['1wheYCHOG8jXrzyqvbEjKH'],1990-02-20,0.537,0.734,0,-12.042,1,0.043,0.13,0.0,0.14,0.837,132.879,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7468,206238,41uJBW1chbymZW2qjO5G2q,Huligan,31,193027,0,['Djena'],['07aV940tBFh4TthmbcjR3g'],2018-05-23,0.833,0.917,0,-5.594,1,0.234,0.0309,6.18e-06,0.349,0.825,95.991,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7469,206242,41uWkGOCpz0CA5vJ1nIKI6,Happy People,42,363760,0,['R. Kelly'],['2mxe0TnaNL039ysAj51xPQ'],2011-10-24,0.762,0.638,5,-5.178,0,0.0965,0.0963,0.0,0.0878,0.791,96.995,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7470,206264,420E2n9BEBXL8J7uYAWXtR,Hunter,39,257010,0,"['Vedesh Sookoo', 'Rajneesh', 'Shyamoo', 'Munna']","['7ISb9PCOxy0mfKcwsZY5wM', '1gFEvcgoCtwF6USROCIs8d', '09fbzAqn6OUh1MR2TbQkt6', '7sHZEksfZX6M6bvqp1XLRz']",2012-05-23,0.908,0.656,7,-6.577,1,0.0778,0.18,0.0,0.222,0.948,115.009,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7471,206276,424mPJdfk7icI33SHgM2Pw,Hollywood Hills,47,210533,0,['Sunrise Avenue'],['1osZFzamKEXNoYk7HzWbDe'],2016-10-21,0.535,0.757,0,-5.436,1,0.0358,0.00494,0.00401,0.0956,0.321,137.917,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7472,206327,42HahcHBg5yyIPkRIqEK19,Heart to Heart,57,209000,0,['James Blunt'],['7KMqksf0UMdyA0UCf4R3ux'],2013-10-16,0.625,0.753,9,-6.057,1,0.0362,0.344,0.000519,0.0709,0.851,160.0,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7473,206340,42LrSpEHmXHfjEH8NeiQQi,Hola (I Say) (feat. Tom Walker),61,227467,0,"['Marco Mengoni', 'Tom Walker']","['3xGlLcG9CUrs5MvFkSLOS5', '7z2avKuuiMAT4XZJFv8Rvh']",2018-11-30,0.533,0.669,2,-4.875,1,0.0465,0.244,0.0,0.0965,0.141,145.721,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7474,206364,42TJTYLMO2zYK2ADXRa6SF,Hunger,53,192827,0,['Amaranthe'],['2KaW48xlLnXC2v8tvyhWsa'],2011-01-01,0.522,0.941,8,-3.947,1,0.101,0.000115,0.0,0.256,0.471,100.015,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7475,206374,42WBcARDt3tcsVgCIztNpI,Herşeyde Biraz Sen Varsın,31,328640,0,['Gökhan Özen'],['3QLMLmISoZnFxUdzSoT6JB'],2003-04-02,0.523,0.757,10,-6.019,0,0.0937,0.304,0.000256,0.0505,0.602,167.79,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
7476,206497,43AcnJIcQAc3ZoaVizt0Bo,High All The Time,48,269360,1,['50 Cent'],['3q7HBObVc0L8jNeTe5Gofh'],2003-02-06,0.663,0.911,6,-1.792,1,0.269,0.0273,0.0,0.0769,0.562,87.3,4,https://i.postimg.cc/cLN4YD7q/spotify-icon.png,https://open.spotify.com/
