Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
42704,4qqf1avpzRUnVowNQd1jFw,Zou bisou bisou,52,135653,0,['Gillian Hills'],['3uA9RwNUL7HZKroYyVlUuL'],2002-01-01,0.772,0.483,8,-9.177,1,0.0381,0.889,0.0102,0.0626,0.839,130.989,4,https://i.scdn.co/image/ab67616d0000b27341c532521849a1e00b8456c7,https://open.spotify.com/track/4qqf1avpzRUnVowNQd1jFw
44314,2TiOpQgxhZ1bs8icpfkOfR,Zaberfluten,35,189474,1,['Van Pletzen'],['0mWmaYz3c8Y6aidiFPu3kN'],2018-03-23,0.651,0.922,7,-6.206,1,0.0561,0.117,0.651,0.145,0.588,94.989,4,https://i.scdn.co/image/ab67616d0000b27300d548f4b3b024e7c96d1cf2,https://open.spotify.com/track/2TiOpQgxhZ1bs8icpfkOfR
44334,3X6YJcqTinaNraRvojF62K,Z4L (with Bari & Jay2),68,162591,1,"['Smino', 'Bari', 'Jay2']","['1ybINI1qPiFbwDXamRtwxD', '3IrrjuvOPa1KFxq0Kk8pvN', '5RoJ70jcjGUibtNjye7DwO']",2018-11-08,0.822,0.503,11,-6.889,0,0.285,0.0779,0.0,0.161,0.408,71.524,4,https://i.scdn.co/image/ab67616d0000b273418c202dda058a337ddb0f92,https://open.spotify.com/track/3X6YJcqTinaNraRvojF62K
44758,2IDFCWs6RooDUgfljS4kHS,Zegarmistrz światła,35,317733,0,['Tadeusz Woźniak'],['4hfOVkeOG1p7s9JlwZ3cyQ'],1972-08-30,0.456,0.46,9,-9.388,1,0.0334,0.653,8.73e-06,0.102,0.349,92.517,4,https://i.scdn.co/image/ab67616d0000b2735ce68f7b1856b110f133b686,https://open.spotify.com/track/2IDFCWs6RooDUgfljS4kHS
44920,6cO0gMDUlpp3PR5IKlJveN,Zoot Suit,39,119466,0,['The High Numbers'],['23v7cVwWDv8VhPWTAePufN'],1979-10-05,0.591,0.865,3,-7.492,1,0.0645,0.744,0.0,0.144,0.9,81.163,4,https://i.scdn.co/image/ab67616d0000b273b4ec33bc1d76a7315bc6ff39,https://open.spotify.com/track/6cO0gMDUlpp3PR5IKlJveN
45548,30t9smohiwcsWePn1V18Ce,Zorra - Remix,75,216533,1,"['Bad Gyal', 'Rauw Alejandro']","['4F4pp8NUW08JuXwnoxglpN', '1mcTU81TzQhprhouKaTkpq']",2021-01-21,0.499,0.762,11,-4.489,1,0.218,0.443,0.0,0.137,0.512,76.995,1,https://i.scdn.co/image/ab67616d0000b273b13613b27e5f523df2b793c6,https://open.spotify.com/track/30t9smohiwcsWePn1V18Ce
45741,3y1oPeqkIaF23ZtrpecX9g,Ziricote,41,195773,0,['Coyote Oldman'],['7LQeFPitSkKhIskTd8knhP'],1987-06-01,0.189,0.0414,4,-24.963,0,0.0437,0.996,0.955,0.0892,0.279,70.913,4,https://i.scdn.co/image/ab67616d0000b273039e48d3defa7b45f8bfe9dc,https://open.spotify.com/track/3y1oPeqkIaF23ZtrpecX9g
45969,2bzitsPcImYC6DZWvvLCQi,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",71,210933,0,['Imagine Dragons'],['53XhwfbYqKCa1cC15pYq2q'],2018-11-09,0.634,0.662,6,-7.543,1,0.0325,0.000479,0.00142,0.111,0.244,90.011,4,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi
46226,0shR7HS35BLn82OBaq4Jk2,Za każdy uśmiech,36,187387,0,['Anna Jantar'],['32ojq4MJxHtYDXaeb1LIzm'],1976-02-12,0.416,0.428,7,-9.827,1,0.0285,0.682,1.21e-05,0.139,0.69,180.98,4,https://i.scdn.co/image/ab67616d0000b273b5410782d1d5d81c7c464f49,https://open.spotify.com/track/0shR7HS35BLn82OBaq4Jk2
46851,2xcHJ5YpRL7wgSfsBnIktB,Zumba,60,263973,0,['Don Omar'],['33ScadVnbm2X8kkUqOkC6Z'],2012-01-01,0.718,0.892,9,-3.494,0,0.0404,0.00175,0.0145,0.138,0.828,124.98,4,https://i.scdn.co/image/ab67616d0000b273a5e45cc0dc2afb858f861736,https://open.spotify.com/track/2xcHJ5YpRL7wgSfsBnIktB
