Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
164811,0vbgHsw9wdwTi6AuBcRVDn,Vazgeçtim,42,254584,0,['Müslüm Gürses'],['4cMwyqmHCwJjRZ3frIVHTr'],2009,0.392,0.501,8,-8.826,0,0.0409,0.67,0.000376,0.155,0.252,168.189,1,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
164831,0vi2v5YENhBL0Uo3V4YLUl,Vieni Da Me,51,249813,0,['Le Vibrazioni'],['3J3PdLj6v1uAs1mWKpzZbX'],2003-05-12,0.353,0.656,2,-5.375,0,0.0339,0.0452,0.0,0.13,0.27,187.796,3,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
164848,0vnzk4L0JyMODSqLp3pHwo,Virtual Diva,59,242733,0,['Don Omar'],['33ScadVnbm2X8kkUqOkC6Z'],2009-01-01,0.783,0.87,8,-4.657,0,0.0485,0.185,0.0,0.393,0.692,114.012,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
164859,0vr2Y0GaDm0in5cjOv1iPB,Você Não Entende Nada / Cotidiano,36,185400,0,['Daniela Mercury'],['2krrkKvM52JgvfGu2Uewbg'],1993-04-30,0.704,0.646,10,-14.943,1,0.0429,0.17,0.0115,0.0645,0.963,91.5,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
164877,0vu5Gf9XyzqId3s3B8udvR,VOILÀ,48,177978,1,['Konex'],['1EArbtCy5GrFydhn1Oq4hY'],2020-07-30,0.653,0.776,1,-7.564,1,0.23,0.263,0.000135,0.115,0.123,177.925,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
164958,0wF8QYlAkTO9w2qKxRr4Te,Volverás,35,326827,0,['Víctor Manuelle'],['4N5fp4zhTsVITZTVfsXpc2'],1994,0.506,0.935,4,-4.348,1,0.05,0.111,2.43e-05,0.607,0.811,92.372,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
165174,0xBmvlqVFKxxIWLJAAgDuV,Vltava,34,207040,1,['Daniel Landa'],['3o13BpwuBBj106YoNIoUrW'],2002-03-18,0.627,0.811,5,-4.781,0,0.0471,0.00865,3.24e-06,0.256,0.348,100.074,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
165316,0xrm0qXfjfftGOA5ukku4G,Voglio Tornare Negli Anni 90 - Radio Edit,56,217617,0,"['DJ Matrix', 'Vise', ""Paps'n'Skar""]","['7fajLZIgjOSUcPFuryO80A', '0DGxaxIejpY55nGrBP83iZ', '7pbBSvkFKdTKLCJl5G1jSV']",2013-02-08,0.725,0.651,5,-4.284,0,0.179,0.0197,0.0,0.182,0.71,128.028,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
165462,0yZh1y2Gx2JrMv4mKoLUo6,Volcán,32,219160,0,['José José'],['4mN0qcMxWX8oToqfDPM5yV'],1994-06-21,0.544,0.279,0,-16.105,1,0.0327,0.678,0.0,0.243,0.49,126.664,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
165533,0yq0Hg6IzgaT0Tm91op97y,Venus,52,204667,0,"['Frenna', 'Ronnie Flex', 'Snelle']","['6m1LYS5NQonxjOcQFPQOb5', '5eir5zFJpES4j7gsymbVyl', '3E31HqA00iCX9nRhesw6LD']",2020-03-16,0.82,0.705,9,-6.022,1,0.0855,0.0224,0.0,0.165,0.438,99.947,4,https://www.logolynx.com/images/logolynx/fd/fd323edba31a2b2612df2617ef7c2ede.jpeg,https://open.spotify.com/
